546,IfcShapeRepresentation,4,2,2
548,IfcProductDefinitionShape,3,2,1
550,IfcWallStandardCase,8,3,11
553,IfcMaterialLayerSetUsage,4,1,1
554,IfcPropertySingleValue,4,null,1
555,IfcPropertySingleValue,4,null,1
556,IfcPropertySingleValue,4,null,1
557,IfcPropertySingleValue,4,null,1
558,IfcPropertySet,5,6,1
560,IfcRelDefinesByProperties,6,3,null
564,IfcPropertySet,5,4,1
566,IfcRelDefinesByProperties,6,3,null
569,IfcPropertySet,5,4,1
571,IfcRelDefinesByProperties,6,3,null
574,IfcPropertySet,5,2,1
576,IfcRelDefinesByProperties,6,3,null
579,IfcPropertySet,5,12,1
581,IfcRelDefinesByProperties,6,3,null
584,IfcPropertySingleValue,4,null,1
585,IfcPropertySet,5,6,1
587,IfcRelDefinesByProperties,6,3,null
590,IfcAxis2Placement3D,3,1,1
591,IfcLocalPlacement,2,1,2
592,IfcSite,14,2,4
596,IfcPropertySingleValue,4,null,2
597,IfcPropertySingleValue,4,null,2
598,IfcPropertySingleValue,4,null,2
599,IfcPropertySingleValue,4,null,2
600,IfcPropertySingleValue,4,null,1
601,IfcPropertySingleValue,4,null,2
602,IfcPropertySingleValue,4,null,1
603,IfcPropertySingleValue,4,null,1
604,IfcPropertySingleValue,4,null,1
605,IfcPropertySingleValue,4,null,1
606,IfcPropertySingleValue,4,null,1
607,IfcPropertySet,5,8,1
609,IfcRelDefinesByProperties,6,3,null
613,IfcPropertySet,5,5,1
615,IfcRelDefinesByProperties,6,3,null
619,IfcPropertySingleValue,4,null,1
620,IfcPropertySet,5,2,1
622,IfcRelDefinesByProperties,6,3,null
626,IfcPropertySingleValue,4,null,1
627,IfcPropertySingleValue,4,null,1
628,IfcPropertySingleValue,4,null,1
629,IfcPropertySingleValue,4,null,1
630,IfcPropertySingleValue,4,null,1
631,IfcPropertySingleValue,4,null,1
632,IfcPropertySingleValue,4,null,2
633,IfcPropertySingleValue,4,null,1
634,IfcPropertySingleValue,4,null,1
635,IfcPropertySingleValue,4,null,1
636,IfcPropertySingleValue,4,null,1
637,IfcPropertySingleValue,4,null,1
638,IfcPropertySingleValue,4,null,1
639,IfcPropertySingleValue,4,null,1
640,IfcPropertySingleValue,4,null,1
641,IfcPropertySingleValue,4,null,1
642,IfcPropertySingleValue,4,null,1
643,IfcPropertySingleValue,4,null,1
644,IfcPropertySet,5,6,1
646,IfcRelDefinesByProperties,6,3,null
649,IfcPropertySet,5,2,1
651,IfcRelDefinesByProperties,6,3,null
654,IfcPropertySet,5,4,1
656,IfcRelDefinesByProperties,6,3,null
659,IfcPropertySet,5,2,1
661,IfcRelDefinesByProperties,6,3,null
664,IfcPropertySet,5,3,1
666,IfcPropertySet,5,7,1
668,IfcPropertySet,5,2,1
670,IfcPropertySet,5,2,1
672,IfcRelContainedInSpatialStructure,6,6,null
679,IfcRelAggregates,6,3,null
683,IfcRelAggregates,6,3,null
687,IfcRelAggregates,6,3,null
691,IfcPropertySingleValue,4,null,1
692,IfcPropertySet,5,2,1
694,IfcRelDefinesByProperties,6,3,null
698,IfcPropertySingleValue,4,null,1
699,IfcPropertySingleValue,4,null,1
